code,name,department,credits,professor_id,semester,year,full_code,description,scraped_at
TECH 3090,Milstein Summer Program,TECH,2,"Estrin, D",Summer,2025,TECH 3090,No description available.,2025-06-24T19:29:52.657536
TECHIE 5990,Independent Study,TECHIE,3,"Seo, J",Summer,2025,TECHIE 5990,Independent research for Cornell Tech students during the summer term.,2025-06-24T19:29:52.761850
